Dataset,Horizon,Model,Type,n_folds,MSE,RMSE,MAE,MAPE,Directional_Accuracy,Strategy_Return_Pct,inference_time,Sharpe_Ratio,Max_Drawdown,Calmar_Ratio
EURUSD_Monthly,1,gemma4_local,llm_local,36,0.0009106827312845366,0.02420051389270363,0.02420051389270363,2.192915788675572,47.22222222222222,-0.3749600605410977,0.36281101571189034,-0.6300529360165507,17.17053193404883,-0.27062034901695897
EURUSD_Monthly,1,qwen3_local,llm_local,36,0.000627529780149961,0.02074686951107451,0.02074686951107451,1.88099594868869,47.22222222222222,-0.06852969237702074,0.8609032233556112,-0.11330366380367904,10.445133833552141,-0.10280405367535277
EURUSD_Monthly,3,naive,naive,34,0.0010606665981345242,0.027084670084332556,0.024023259387296773,2.183935821540828,0.0,0.0,0.00022943580851835364,0.0,0.0,0.0
EURUSD_Monthly,3,arima,classical,34,0.0012252846069801728,0.029214657135959915,0.026628508253006434,2.3965511201774468,52.94117647058823,0.2849118861571396,0.07378836940316592,0.49409869434264636,8.042969832627259,0.4019780431117093
EURUSD_Monthly,3,ses,classical,34,0.0010608443517683488,0.02708853090637641,0.024029208868627475,2.18446465460512,50.0,0.15747883499780377,0.00103301160475787,0.2547716252105447,9.514906225118784,0.1716967541607006
EURUSD_Monthly,3,holt,classical,34,0.0011661931369545922,0.028294740180691114,0.02531031398144687,2.299131324951736,47.05882352941177,-0.32660737211858437,0.0013622676624971278,-0.5333192112279107,13.140712314928143,-0.3122894789546484
EURUSD_Monthly,3,timegpt,foundation,34,0.0014929628855842524,0.03338929428053444,0.030582409026635872,2.7665012457448204,44.11764705882353,-0.024462713356039355,2.2781404186697567,-0.039468965108961064,11.045848000917186,-0.05078687408763104
EURUSD_Monthly,3,moirai,foundation,34,0.33238735600769526,0.1459485820779971,0.09871786131578332,9.045777317404362,44.11764705882353,0.0149270779950089,0.06956576599794276,0.024082839208840242,9.817974071487873,-0.00912677362898253
EURUSD_Monthly,3,chronos,foundation,34,0.0013634347422692807,0.03208487930926132,0.029074002714718078,2.637394592505461,47.05882352941177,0.06326514613832837,0.08046183866613052,0.10211296842741573,8.569317120069304,0.057581507293119324
EURUSD_Monthly,3,timesfm,foundation,34,0.00484971006424949,0.062315426810916126,0.0603546044405769,5.42870948114514,47.05882352941177,-0.3508952550989516,0.05518466584822711,-0.5740613393197442,13.557147025495105,-0.3232871114744158
EURUSD_Monthly,3,gemma4_local,llm_local,34,0.0024882163616538238,0.043917656502308215,0.03976136025260475,3.621628027544996,50.0,-0.29763800808941454,0.7813868803136489,-0.48501201803700056,15.301538762667477,-0.24634177833451734
EURUSD_Monthly,3,qwen3_local,llm_local,34,0.0018132114754754152,0.03752117285379977,0.03406615252588311,3.1104276062475105,41.1764705882353,-0.11826835406655489,1.4707783320370842,-0.19110429675543164,18.016055209694134,-0.09281330400000251
BTC_Daily,1,naive,naive,157,2342497.089812965,963.9571432125796,963.9571432125796,1.3916493187828518,0.0,0.0,0.00020793137277007862,0.0,0.0,0.0
